SubscriptionId,CustomerId,RateID,ProviderID,ServiceID
1,1,17,4,6
2,1,25,2,1
3,2,22,8,1
4,2,13,6,2
5,3,20,2,1
6,3,15,6,4
7,4,21,7,1
8,4,9,5,2
9,5,21,7,1
10,5,1,1,2
11,6,17,4,6
12,6,15,6,4
13,7,24,10,1
14,7,10,5,3
15,8,23,9,1
16,8,8,3,5
17,9,17,4,6
18,9,4,1,5
19,10,20,2,1
20,10,15,6,4
21,11,19,4,8
22,11,9,5,2
23,12,18,4,7
24,12,15,6,4
25,13,24,10,1
26,13,11,5,4
27,14,19,4,8
28,14,8,3,5
29,15,19,4,8
30,15,11,5,4
31,16,24,10,1
32,16,12,5,5
33,17,24,10,1
34,17,14,6,3
35,18,19,4,8
36,18,1,1,2
37,19,20,2,1
38,19,12,5,5
39,20,20,2,1
40,20,13,6,2
41,21,24,10,1
42,21,15,6,4
43,22,23,9,1
44,22,6,3,3
45,23,19,4,8
46,23,3,1,4
47,24,19,4,8
48,24,15,6,4
49,25,19,4,8
50,25,12,5,5
51,26,18,4,7
52,26,4,1,5
53,27,24,10,1
54,27,7,3,4
55,28,20,2,1
56,28,9,5,2
57,29,17,4,6
58,29,10,5,3
59,30,24,10,1
60,30,10,5,3
61,31,17,4,6
62,31,3,1,4
63,32,18,4,7
64,32,5,3,2
65,33,21,7,1
66,33,6,3,3
67,34,19,4,8
68,34,11,5,4
69,35,18,4,7
70,35,6,3,3
71,36,23,9,1
72,36,10,5,3
73,37,20,2,1
74,37,10,5,3
75,38,21,7,1
76,38,14,6,3
77,39,22,8,1
78,39,3,1,4
79,40,19,4,8
80,40,6,3,3
81,41,21,7,1
82,41,3,1,4
83,42,19,4,8
84,42,9,5,2
85,43,23,9,1
86,43,5,3,2
87,44,22,8,1
88,44,8,3,5
89,45,19,4,8
90,45,8,3,5
91,46,22,8,1
92,46,13,6,2
93,47,18,4,7
94,47,10,5,3
95,48,24,10,1
96,48,4,1,5
97,49,18,4,7
98,49,25,2,1
99,50,18,4,7
100,50,8,3,5
101,51,23,9,1
102,51,16,6,5
103,52,20,2,1
104,52,13,6,2
105,53,21,7,1
106,53,8,3,5
107,54,23,9,1
108,54,25,2,1
109,55,17,4,6
110,55,1,1,2
111,56,18,4,7
112,56,6,3,3
113,57,22,8,1
114,57,3,1,4
115,58,22,8,1
116,58,25,2,1
117,59,23,9,1
118,59,25,2,1
119,60,21,7,1
120,60,16,6,5
121,61,20,2,1
122,61,14,6,3
123,62,19,4,8
124,62,6,3,3
125,63,21,7,1
126,63,7,3,4
127,64,22,8,1
128,64,2,1,3
129,65,21,7,1
130,65,13,6,2
131,66,20,2,1
132,66,14,6,3
133,67,24,10,1
134,67,13,6,2
135,68,21,7,1
136,68,10,5,3
137,69,18,4,7
138,69,8,3,5
139,70,17,4,6
140,70,14,6,3
141,71,17,4,6
142,71,25,2,1
143,72,24,10,1
144,72,7,3,4
145,73,19,4,8
146,73,15,6,4
147,74,17,4,6
148,74,12,5,5
149,75,19,4,8
150,75,1,1,2
151,76,23,9,1
152,76,12,5,5
153,77,24,10,1
154,77,10,5,3
155,78,23,9,1
156,78,11,5,4
157,79,24,10,1
158,79,8,3,5
159,80,20,2,1
160,80,7,3,4
161,81,17,4,6
162,81,2,1,3
163,82,20,2,1
164,82,6,3,3
165,83,18,4,7
166,83,11,5,4
167,84,20,2,1
168,84,15,6,4
169,85,19,4,8
170,85,9,5,2
171,86,24,10,1
172,86,16,6,5
173,87,22,8,1
174,87,4,1,5
175,88,19,4,8
176,88,16,6,5
177,89,23,9,1
178,89,5,3,2
179,90,19,4,8
180,90,1,1,2
181,91,22,8,1
182,91,10,5,3
183,92,20,2,1
184,92,7,3,4
185,93,20,2,1
186,93,15,6,4
187,94,20,2,1
188,94,16,6,5
189,95,17,4,6
190,95,1,1,2
191,96,24,10,1
192,96,13,6,2
193,97,17,4,6
194,97,9,5,2
195,98,24,10,1
196,98,14,6,3
197,99,18,4,7
198,99,13,6,2
199,100,18,4,7
200,100,3,1,4
