UsageID,CustomerID,ProviderID,ServiceID,BillCalendarID,UsageAmount
1,1,4,6,1,481.4
2,1,2,1,1,0
3,2,8,1,1,7.92
4,2,6,2,1,50
5,3,2,1,1,10.69
6,3,6,4,1,50
7,4,7,1,1,6.63
8,4,5,2,1,75
9,5,7,1,1,6.02
10,5,1,2,1,80
11,6,4,6,1,864.67
12,6,6,4,1,50
13,7,10,1,1,11.8
14,7,5,3,1,95
15,8,9,1,1,6.14
16,8,3,5,1,20
17,9,4,6,1,826.41
18,9,1,5,1,30
19,10,2,1,1,16.77
20,10,6,4,1,50
21,11,4,8,1,16.21
22,11,5,2,1,75
23,12,4,7,1,19.15
24,12,6,4,1,50
25,13,10,1,1,8.68
26,13,5,4,1,40
27,14,4,8,1,9.28
28,14,3,5,1,20
29,15,4,8,1,18.36
30,15,5,4,1,40
31,16,10,1,1,17.91
32,16,5,5,1,15
33,17,10,1,1,12.57
34,17,6,3,1,90
35,18,4,8,1,11.94
36,18,1,2,1,80
37,19,2,1,1,13.17
38,19,5,5,1,15
39,20,2,1,1,16.79
40,20,6,2,1,50
41,21,10,1,1,18.09
42,21,6,4,1,50
43,22,9,1,1,6.17
44,22,3,3,1,105
45,23,4,8,1,12.37
46,23,1,4,1,70
47,24,4,8,1,16.94
48,24,6,4,1,50
49,25,4,8,1,17.84
50,25,5,5,1,15
51,26,4,7,1,6.64
52,26,1,5,1,30
53,27,10,1,1,12.81
54,27,3,4,1,30
55,28,2,1,1,6.38
56,28,5,2,1,75
57,29,4,6,1,372.45
58,29,5,3,1,95
59,30,10,1,1,17.65
60,30,5,3,1,95
61,31,4,6,1,712.47
62,31,1,4,1,70
63,32,4,7,1,14.14
64,32,3,2,1,90
65,33,7,1,1,19.69
66,33,3,3,1,105
67,34,4,8,1,11.51
68,34,5,4,1,40
69,35,4,7,1,8.44
70,35,3,3,1,105
71,36,9,1,1,7.78
72,36,5,3,1,95
73,37,2,1,1,11.02
74,37,5,3,1,95
75,38,7,1,1,17.76
76,38,6,3,1,90
77,39,8,1,1,8.49
78,39,1,4,1,70
79,40,4,8,1,10.29
80,40,3,3,1,105
81,41,7,1,1,11.03
82,41,1,4,1,70
83,42,4,8,1,14.16
84,42,5,2,1,75
85,43,9,1,1,6.77
86,43,3,2,1,90
87,44,8,1,1,16.97
88,44,3,5,1,20
89,45,4,8,1,19.92
90,45,3,5,1,20
91,46,8,1,1,7.89
92,46,6,2,1,50
93,47,4,7,1,18.08
94,47,5,3,1,95
95,48,10,1,1,12.05
96,48,1,5,1,30
97,49,4,7,1,12.53
98,49,2,1,1,0
99,50,4,7,1,16.97
100,50,3,5,1,20
101,51,9,1,1,19.83
102,51,6,5,1,10
103,52,2,1,1,16.56
104,52,6,2,1,50
105,53,7,1,1,14.72
106,53,3,5,1,20
107,54,9,1,1,5.3
108,54,2,1,1,0
109,55,4,6,1,940.83
110,55,1,2,1,80
111,56,4,7,1,19.23
112,56,3,3,1,105
113,57,8,1,1,8.94
114,57,1,4,1,70
115,58,8,1,1,14.72
116,58,2,1,1,0
117,59,9,1,1,8.82
118,59,2,1,1,0
119,60,7,1,1,14.49
120,60,6,5,1,10
121,61,2,1,1,7.64
122,61,6,3,1,90
123,62,4,8,1,19.96
124,62,3,3,1,105
125,63,7,1,1,8.96
126,63,3,4,1,30
127,64,8,1,1,6.37
128,64,1,3,1,100
129,65,7,1,1,19.76
130,65,6,2,1,50
131,66,2,1,1,11.57
132,66,6,3,1,90
133,67,10,1,1,18.59
134,67,6,2,1,50
135,68,7,1,1,5.45
136,68,5,3,1,95
137,69,4,7,1,13.26
138,69,3,5,1,20
139,70,4,6,1,337.25
140,70,6,3,1,90
141,71,4,6,1,554.84
142,71,2,1,1,0
143,72,10,1,1,16.48
144,72,3,4,1,30
145,73,4,8,1,11.46
146,73,6,4,1,50
147,74,4,6,1,673.75
148,74,5,5,1,15
149,75,4,8,1,15.95
150,75,1,2,1,80
151,76,9,1,1,18.35
152,76,5,5,1,15
153,77,10,1,1,11.18
154,77,5,3,1,95
155,78,9,1,1,9.35
156,78,5,4,1,40
157,79,10,1,1,9.55
158,79,3,5,1,20
159,80,2,1,1,5.4
160,80,3,4,1,30
161,81,4,6,1,763.24
162,81,1,3,1,100
163,82,2,1,1,10.92
164,82,3,3,1,105
165,83,4,7,1,9.62
166,83,5,4,1,40
167,84,2,1,1,10.32
168,84,6,4,1,50
169,85,4,8,1,17.4
170,85,5,2,1,75
171,86,10,1,1,7.18
172,86,6,5,1,10
173,87,8,1,1,6.33
174,87,1,5,1,30
175,88,4,8,1,12.28
176,88,6,5,1,10
177,89,9,1,1,15.91
178,89,3,2,1,90
179,90,4,8,1,13.98
180,90,1,2,1,80
181,91,8,1,1,6.14
182,91,5,3,1,95
183,92,2,1,1,5.61
184,92,3,4,1,30
185,93,2,1,1,6.5
186,93,6,4,1,50
187,94,2,1,1,13.12
188,94,6,5,1,10
189,95,4,6,1,677.49
190,95,1,2,1,80
191,96,10,1,1,8.27
192,96,6,2,1,50
193,97,4,6,1,929.68
194,97,5,2,1,75
195,98,10,1,1,12.17
196,98,6,3,1,90
197,99,4,7,1,6.77
198,99,6,2,1,50
199,100,4,7,1,12.39
200,100,1,4,1,70
