Provider ID    Service ID     Total Bill Amount   Total Amount Paid   
----------------------------------------------------------------------
1              2              $174720.00          $2080.00            
1              3              $218400.00          $2300.00            
1              4              $153930.00          $2739.84            
1              5              $65520.00           $760.40             
2              1              $159320.38          $1836.89            
2              4              $0.00               $0.00               
3              2              $189000.00          $2169.46            
3              3              $220500.00          $2563.67            
3              4              $63450.00           $1162.72            
3              5              $42000.00           $480.00             
4              4              $0.00               $0.00               
4              6              $810194.71          $9234.49            
4              7              $214685.71          $2489.19            
4              8              $42608.12           $484.71             
5              2              $144900.00          $1679.79            
5              3              $183540.00          $2090.00            
5              4              $77880.00           $1466.90            
5              5              $28980.00           $330.00             
6              2              $109200.00          $1300.00            
6              3              $196560.00          $2172.18            
6              4              $109950.00          $1850.00            
6              5              $21840.00           $250.00             
7              1              $178893.84          $2006.54            
7              4              $0.00               $0.00               
8              1              $146946.70          $1661.38            
8              4              $0.00               $0.00               
9              1              $186865.02          $2070.36            
9              4              $0.00               $0.00               
10             1              $110739.44          $1313.89            
10             4              $0.00               $0.00               
11             4              $0.00               $0.00               
12             4              $0.00               $0.00               
13             4              $0.00               $0.00               
14             4              $0.00               $0.00               
15             4              $0.00               $0.00               
16             4              $0.00               $0.00               
17             4              $0.00               $0.00               
18             4              $0.00               $0.00               
19             4              $0.00               $0.00               
20             4              $0.00               $0.00               
21             4              $0.00               $0.00               
22             4              $0.00               $0.00               
23             4              $0.00               $0.00               
24             4              $0.00               $0.00               
25             4              $0.00               $0.00               
26             4              $0.00               $0.00               
27             4              $0.00               $0.00               
28             4              $0.00               $0.00               
29             4              $0.00               $0.00               
30             4              $0.00               $0.00               
31             4              $0.00               $0.00               
32             4              $0.00               $0.00               
33             4              $0.00               $0.00               
34             4              $0.00               $0.00               
35             4              $0.00               $0.00               
36             4              $0.00               $0.00               
37             4              $0.00               $0.00               
38             4              $0.00               $0.00               
39             4              $0.00               $0.00               
40             4              $0.00               $0.00               
41             4              $0.00               $0.00               
42             4              $0.00               $0.00               
43             4              $0.00               $0.00               
44             4              $0.00               $0.00               
45             4              $0.00               $0.00               
46             4              $0.00               $0.00               
47             4              $0.00               $0.00               
48             4              $0.00               $0.00               
49             4              $0.00               $0.00               
50             4              $0.00               $0.00               
51             4              $0.00               $0.00               
52             4              $0.00               $0.00               
53             4              $0.00               $0.00               
54             4              $0.00               $0.00               
55             4              $0.00               $0.00               
56             4              $0.00               $0.00               
57             4              $0.00               $0.00               
58             4              $0.00               $0.00               
59             4              $0.00               $0.00               
60             4              $0.00               $0.00               
61             4              $0.00               $0.00               
62             4              $0.00               $0.00               
63             4              $0.00               $0.00               
64             4              $0.00               $0.00               
65             4              $0.00               $0.00               
66             4              $0.00               $0.00               
67             4              $0.00               $0.00               
68             4              $0.00               $0.00               
69             4              $0.00               $0.00               
70             4              $0.00               $0.00               
71             4              $0.00               $0.00               
72             4              $0.00               $0.00               
73             4              $0.00               $0.00               
74             4              $0.00               $0.00               
75             4              $0.00               $0.00               
76             4              $0.00               $0.00               
77             4              $0.00               $0.00               
78             4              $0.00               $0.00               
79             4              $0.00               $0.00               
80             4              $0.00               $0.00               
81             4              $0.00               $0.00               
82             4              $0.00               $0.00               
83             4              $0.00               $0.00               
84             4              $0.00               $0.00               
85             4              $0.00               $0.00               
86             4              $0.00               $0.00               
87             4              $0.00               $0.00               
88             4              $0.00               $0.00               
89             4              $0.00               $0.00               
90             4              $0.00               $0.00               
91             4              $0.00               $0.00               
92             4              $0.00               $0.00               
93             4              $0.00               $0.00               
94             4              $0.00               $0.00               
95             4              $0.00               $0.00               
96             4              $0.00               $0.00               
97             4              $0.00               $0.00               
98             4              $0.00               $0.00               
99             4              $0.00               $0.00               
100            4              $0.00               $0.00               
